Name ,Address,Category 
Urban Village Church (South Loop),"610 S Michigan Ave, Chicago, IL 60605",Church
People Church,"1147 N Western Ave, Chicago, IL 60622",Church
Apostolic Church of God,"6320 S Dorchester Ave, Chicago, IL 60637",Church
Community Christian Church,"10323 S Ewing Ave, Chicago, IL 60617",Church
First United Methodist Church of Chicago,"77 W Washington St, Chicago, IL 60602",Church
Father's House Christian Church,"820 Ontario St, Oak Park, IL 60302",Church
Hopewell Church,"6600 S Hermitage Ave, Chicago, IL 60636",Church
Metro Praise International ,"5405 W Diversey Ave, Chicago, IL",Church
New Life Covenant Church,"1021 E 78th St, Chicago, IL 60619",Church
New Life Community Church," 3033 S Normal Ave, Chicago, IL 60616",Church
Park Church Bridgeport campus,"911 W 32nd Pl, Chicago, IL 60608",Church
Progressive Baptist Church,"3658 S Wentworth Ave, Chicago, IL 60609",Church
Renewal Church of Chicago,"1950 W 13th St, Chicago, IL 60608",Church
"St. James Cathedral, Chicago","65 E Huron St, Chicago, IL 60611",Church
Salem Baptist Church of Chicago,"752 E 114th St, Chicago, IL 60628",Church
Uptown Baptist Church ,"1011 W Wilson Ave, Chicago, IL",Church
Living Comfort Ministries ,"4750 N Sheridan Rd, Chicago, IL",Church
Covenant Presbyterian Church,"2012 W Dickens Ave, Chicago, IL 60647",Church
First Church of Deliverance,"4315 S Wabash Ave, Chicago, IL 60653",Church
First Christian Church Of Chicago,"3600 W 79th St, Chicago, IL 60652",Church
The First Presbyterian Church of Chicago,"6400 S Kimbark Ave, Chicago, IL 60637",Church
Harvest Beit Midrash of Chicago,"5237 W Diversey Ave, Chicago, IL",Church
Saint Sabina Church,"1210 W 78th Pl, Chicago, IL 60620",Church
Grace Episcopal Church,"637 S Dearborn St, Chicago, IL 60605",Church
Second Presbyterian Church,"1936 Michigan Ave, Chicago, IL 60616",Church
Saint Clement Church,"642 W Deming Pl, Chicago, IL 60614",Church
CityPoint Community Church,"2345 S Michigan Ave, Chicago, IL 60616",Church
Trinity All Nations Deliverance Ministries ,"9600 S. Vincennes Ave. , Chicago, IL",Church
United Church of Rogers Park,"1545 W Morse Ave, Chicago, IL",Church
Abundant Life M B Church,"2300 W 69th St, Chicago, IL 60636",Church
Atonement Church," 7001 S Laflin St, Chicago, IL 60636",Church
Bethel House of Prayer Church ,"7066 N Clark St. , Chicago, IL",Church
Bountiful Life Church,"4727 S Wabash Ave, Chicago, IL",Church
Chicago Gage Park Church of the Nazarene," 2806 W 59th St, Chicago, IL 60629",Church
Church of Christ,"5256 W Chicago Ave, Chicago, IL",Church
Englewood Church of God,"1122 W 61st St.,Chicago, IL 60621",Church
First Church of Love & Faith,"2140 W 79th St, Chicago, IL 60620",Church
First st. Peter M.B Church Of Chicago,"5524 S Ashland Ave, Chicago, IL 60636",Church
Fourth Presbyterian Church,"126 E Chestnut St, Chicago, IL 60611",Church
Full Life Church,"7959 S Western Ave, Chicago, IL 60636",Church
Holy Healing Temple Church," 2659 W 71st St, Chicago, IL 60629",Church
Holy Trinity Church Downtown Congregation,"50 E Erie St, Chicago, IL 60611",Church
Lebanon Baptist Church,"1501 W Marquette Rd, Chicago, IL 60636",Church
Life Giving Ministries Church,"7020 S Racine Ave, Chicago, IL",Church
"Living Hope Church, Chicago","6414 S Cottage Grove Ave, Chicago, IL 6063",Church
Nazarene All Nations Church,"6500 S Ashland Ave, Chicago, IL 60636",Church
New Life Cathedral ,"700 E 111th St, Chicago, IL",Church
Olivet Baptist Church ,"3101 S King Dr, Chicago, IL",Church
Rock of Love MB Church,"7620 S Ashland Ave, Chicago, IL 60620",Church
Soul City Church,"1150 W Adams St, Chicago, IL 60607",Church
Southside Tabernacle Church,"7724 S Racine Ave, Chicago, IL 60620",Church
Well Temple of Deliverance ,"2739 W Madison St, Chicago, IL",Church
Ed Fox & Associates,"300 W Adams St #330, Chicago, IL",Lawyer
Action Coalition of Englewood,"6455 S Peoria St, Chicago, IL",Lawyer
ADULT PROBATION DEPARTMENT ,"2650 S. California, Chicago, IL",Lawyer
ARC,"5608 S Racine Ave, Chicago, IL",Lawyer
Chatham Parole Office,"8007 S Cottage Grove Ave, Chicago, IL",Lawyer
Chicago Human Services Department,"641 W 63rd St, Chicago, IL",Lawyer
Chicago Human Services Department,"845 W 69th St, Chicago, IL",Lawyer
